County of Residence,Cases,Total Tested By County,Deaths,Population (2019),countyfips,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,countyfips,,countyfips,revenue_all
Autauga,521,3996,11,55869,1001,0.05,0.07,.,.,-0.04,.,.,1001,,1001,0.0414
Baldwin,626,13959,9,223234,1003,0.17,0.12,0.55,0.08,0.06,-0.02,0.0351,1003,,1003,-0.0263
Barbour,319,1738,1,24686,1005,0.05,-0.02,.,.,-0.05,.,.,1005,,1005,0.0667
Bibb,162,2039,1,22394,1007,0.14,0.1,.,.,0.03,.,.,1007,,1009,0.0483
Blount,196,2896,1,57826,1009,0.07,0.01,.,.,0.08,.,.,1009,,1013,-0.0467
Bullock,360,1274,9,10101,1011,.,0.02,.,.,.,.,.,1011,,1015,0.0405
Butler,602,2410,27,19448,1013,0.02,-0.15,.,-0.04,0,.,.,1013,,1017,-0.126
Calhoun,261,6205,5,113605,1015,0.07,-0.02,.,.,0.02,0,-1.02E-07,1015,,1019,-0.0196
Chambers,571,2957,27,33254,1017,0.02,0,.,.,0.02,.,.,1017,,1021,-0.0164
Cherokee,70,1244,7,26196,1019,0.04,0.16,.,.,0,.,.,1019,,1025,-0.123
Chilton,203,2348,2,44428,1021,0.07,0.05,.,0.12,0.03,.,.,1021,,1027,0.0419
Choctaw,191,685,12,12589,1023,.,-0.09,.,.,.,.,.,1023,,1029,-0.29
Clarke,261,2260,5,23622,1025,0.07,-0.18,.,.,0,.,.,1025,,1031,-0.043
Clay,48,728,2,13235,1027,-0.13,0.02,.,.,.,.,.,1027,,1033,0.0064
Cleburne,30,494,1,14910,1029,.,0.01,.,.,.,.,.,1029,,1035,0.169
Coffee,346,3467,1,52342,1031,0.01,0.04,.,.,0.02,.,.,1031,,1039,0.0559
Colbert,358,4494,5,55241,1033,0.16,0.07,.,0.08,0.02,.,.,1033,,1043,-0.22
Conecuh,176,880,4,12067,1035,0.19,-0.15,.,0.2,.,.,.,1035,,1045,0.00691
Coosa,55,482,1,10663,1037,,,,,,,,,,1047,-0.0612
Covington,302,2533,4,37049,1039,0.03,0.04,.,.,0,.,.,1039,,1049,-0.137
Crenshaw,122,1164,3,13772,1041,0.09,-0.05,.,.,.,.,.,1041,,1051,0.0702
Cullman,393,5789,3,83768,1043,0.07,0.04,0.33,0,0,0,-1.02E-07,1043,,1053,-0.0409
Dale,235,2967,0,49172,1045,0,0,.,.,0,.,.,1045,,1055,-0.143
Dallas,781,4494,8,37196,1047,-0.01,-0.02,.,.,0.02,.,.,1047,,1057,0.00744
DeKalb,562,4420,5,71513,1049,0.05,0.01,.,.,0.05,-0.01,0.0175,1049,,1059,-0.0209
